"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"X3.Floyd.s.Zombie.Dust.Clone";2;1,07;1,018;53;6,9;8
"Cascade.IPA";2;1,068;1,018;68;6,6;6
"Hefe.IV";1;1,05;1,012;12;5;3
"Citra.Black.IPA";2;1,062;1,017;43;6;33
"Citra.Amarillo.IPA";2;1,059;1,01;68;6,4;6
"House.Red.Ale";4;1,049;1,012;20;4,8;17
"Love.You.Long.Time.IPA";2;1,05;1,013;43;4,9;8
"Grapefruit.IPA";2;1,062;1,015;50;6,1;10
"All.Citra.Ale";2;1,06;1,015;49;5,9;7
"Springtime.Red.IPA";2;1,066;1,016;70;6,4;14
"German.Pilsner";3;1,046;1,012;36;4,5;2
"Bells.Two.Hearted..BeerSmith.";2;1,074;1,017;61;7,5;7
"Citripa";2;1,064;1,016;67;6,2;8
"Herms√.l...Red.Ranger";4;1,065;1,017;22;6,2;15
"Golden.Magic.Hefeweizen";1;1,051;1,013;14;5;2
"Celtic.Sunrise.Irish.Red.Ale";4;1,05;1,014;18;4,7;13
"Irish.red";4;1,049;1,014;24;4,6;13
"Citra.Single.Hop.IPA";2;1,07;1,018;65;6,9;9
"Lagunitas.IPA.clone";2;1,074;1,019;58;7,3;9
"Bronco.Orange.Hefeweizen.BIAB";1;1,05;1,012;15;5;3
"Strawberry.Wheat";1;1,052;1,013;10;5,1;3
"Azacca.SMASH";2;1,073;1,017;67;7,3;6
"Citra.Mosaic.Half.Hearted";2;1,06;1,014;54;6;7
"Hefeweizen";1;1,051;1,013;13;5;3
"Northern.Brewer.Dead.Ringer.IPA";2;1,067;1,018;55;6,4;7
"Bismarck.Pils";3;1,049;1,012;40;4,8;2
"Double.Dawg.Dare.IPA";2;1,062;1,017;66;5,9;6
"X.2.Summer.SMaSH.IPA";2;1,069;1,017;53;6,8;6
"Angel.IPA";2;1,064;1,014;56;6,5;7
"Irish.Red.2011";4;1,055;1,014;19;5,4;14
"Fresh.Hop.IPA";2;1,067;1,016;62;6,8;7
"Session.Black.IPA";2;1,048;1,013;42;4,6;37
"L33T.1P4";2;1,07;1,015;65;7,2;7
"German.Pilsner.1";3;1,052;1,011;35;5,3;2
"Zombie.Dust.IPA.Clone";2;1,047;1,007;108;5,2;9
"Denny.s.Rye.IPA";2;1,082;1,012;60;9,1;10
"Freshly.Squeezed.Nugs";2;1,074;1,018;52;7,4;9
"Outter.Limits.IPA";2;1,068;1,018;41;6,6;11
"Dead.Ringer.IPA";2;1,064;1,015;64;6,4;7
"Ice.to.69.you";2;1,07;1,016;68;7;6
"Snoweizen";1;1,044;1,012;10;4,2;4
"Tafy.s.Rye.Pils";3;1,047;1,011;30;4,8;3
"Hawaiian.Pale.Ale";2;1,059;1,014;59;6;9
"Weihenstephaner.Hefe.Weissbier..1";1;1,052;1,012;11;5,2;2
"Irish.Red.Ale..Midwest.kit.";4;1,044;1,011;22;4,4;12
"Zombie.Ritual..Zombie.Dust.Clone..BIAB";2;1,062;1,016;63;6,1;8
"Jamil.s.BYO.Irish.Red.Ale";4;1,052;1,014;25;5,1;15
"Lenticular";2;1,058;1,008;61;6,5;6
"Ziggy.Spacedust.IPA..a.smaller.Space.Dust.clone.";2;1,06;1,018;55;5,5;4
"Hoppiness.is.an.IPA..Palmer.et.al.";2;1,072;1,011;58;8,1;8
"Ska.Modus.Hoperandi.Clone";2;1,067;1,017;67;6,6;12
"Single.Hop.Amarillo.IPA";2;1,066;1,017;59;6,4;10
"Single.Hop.IPA...Sorachi.Ace...Scaled";2;1,064;1,017;54;6,1;8
"Summer.Shandy";1;1,051;1,012;12;5,1;3
"Nasty.Nate.s.Armadillo";2;1,061;1,015;70;6;7
"Chinook.IPA";2;1,066;1,018;65;6,3;6
"X1337.Zombie..Citra.Single.Hop.";2;1,064;1,009;70;7,2;7
"Kilkenny.Irish.Red";4;1,047;1,015;19;4,1;13
"Aranycs√.pp";1;1,061;1,016;11;5,9;3
"Raging.Red.Irish.Red.Ale";4;1,06;1,014;25;6;15
"Sculpin.IPA.Clone";2;1,072;1,018;73;7,1;9
"Standard.Weissbier";1;1,043;1,011;23;4,1;3
"Hangover.Hold.em.IPA";2;1,065;1,013;48;6,8;7
"Lagunitas.IPA.Clone";2;1,06;1,017;45;5,6;7
"Columbus.Single.Hop.IPA";2;1,074;1,011;65;8,3;6
"Chinook.Rye.IPA";2;1,075;1,011;68;8,4;10
"Willamette.valley.wiesse";1;1,051;1,014;9;4,9;3
"Equinox.IPA.9.26.14";2;1,057;1,012;60;5,9;8
"Columbus.IPA";2;1,065;1,016;56;6,4;8
"Belgian.IPA";2;1,069;1,017;70;6,8;6
"Sailor.s.Delight";2;1,07;1,017;66;7;6
"Irish.Spring.Break";4;1,048;1,014;25;4,6;10
"Fresh.Squeezed.IPA.Clone";2;1,064;1,009;88;7,2;8
"Irish.Red";4;1,058;1,014;26;5,7;12
"Northwest.Imperial.Red.Rye.Ale";4;1,083;1,022;37;8;14
"Moran.s.IPA";2;1,056;1,015;58;5,4;32
"Oirish.Rad";4;1,063;1,014;23;6,4;11
"Nisqually.Pale";2;1,061;1,015;58;6;8
"Draft.Day.IPA";2;1,074;1,017;60;7,4;13
"MACC.IPA";2;1,071;1,015;41;7,4;6
"Cascade.of.Cascade";2;1,057;1,012;58;5,9;7
"Heafes.weizen";1;1,048;1,013;11;4,7;2
"Red.IPA";2;1,065;1,015;66;6,6;13
"Bell.s.Two.Hearted.Clone";2;1,06;1,012;54;6,3;8
"Single.Hop.IPA..Nelson.Sauvin.";2;1,071;1,017;56;7,2;9
"Tongue.Tickler.Pilsner";3;1,048;1,011;28;4,8;2
"German.Pilsner.3";3;1,046;1,01;35;4,7;2
"Summer.Pils";3;1,05;1,01;39;5,2;2
"Irish.Red.Ale..MW.";4;1,049;1,013;26;4,7;12
"Chinook.IPA.1";2;1,057;1,014;45;5,7;7
"Biscuit.IPA";2;1,07;1,017;52;6,8;10
"B.s.Pils";3;1,048;1,012;44;4,7;2
"Galaxy.IPA";2;1,071;1,018;63;6,9;8
"Centennial.IPA";2;1,07;1,015;65;7,1;9
"Daniel.s.Extract.Hefeweizen";1;1,05;1,013;13;4,9;3
"American.Red.Rye.IPA";2;1,063;1,016;73;6,2;16
"Kama.Citra.Session.IPA..NB.";2;1,05;1,014;39;4,8;4
"Jim.s.American.IPA";2;1,048;1,007;61;5,4;5
"hefe";1;1,053;1,013;15;5,2;6
"Boylan.Hoptical";2;1,055;1,013;44;5,5;11
"Wolf";2;1,074;1,013;39;8;15
"Red.Beard...Bitter.Red";4;1,049;1,014;29;4,6;13
"duet.clone";2;1,07;1,016;52;7;4
"A2ZIPA...";2;1,072;1,016;71;7,3;3
"K√.nigskrone.German.Pils";3;1,049;1,013;33;4,7;2
"Simple.Hefe";1;1,058;1,015;5;5,6;3
"Ein.ma.Weisse";1;1,047;1,013;8;4,5;4
"IPA";2;1,065;1,011;48;7;9
"Magnibrew.s.Hop..Hop..IPA";2;1,062;1,016;52;6,1;8
"Red.Robyn.2";4;1,044;1,006;22;4,9;9
"Trick.or.Treat.Black.IPA";2;1,08;1,019;67;8;62
"Nugget.Nectar.Clone";2;1,069;1,01;108;7,7;6
"Jamil.s.Evil.Twin...ALL.GRAIN";2;1,065;1,017;69;6,2;16
"Nelson.in.Vienna.SMaSH";2;1,054;1,013;44;5,4;7
"CYBI.Green.Flash.West.Coast.IPA";2;1,077;1,021;100;7,3;8
"Leine.s.Summer.Shandy.Clone";1;1,051;1,012;12;5,1;2
"EMA.American.Pale...26L.batch.";2;1,059;1,009;41;6,6;7
"SaraWeizen";1;1,052;1,013;11;5,1;4
"Hop.Burst.IPA";2;1,065;1,015;56;6,5;7
"American.Rye.IPA";2;1,064;1,015;50;6,4;7
"Chicken.Dog.IPA";2;1,069;1,017;69;6,8;8
"Duke.s.Fall.Retriever";2;1,07;1,01;57;7,8;7
"oktoberfest.hefe";1;1,052;1,012;12;5,2;3
"German.Hefeweizen";1;1,048;1,012;11;4,7;2
"From.Hells.Heart";2;1,062;1,013;70;6,5;8
"Spaceman.IPA";2;1,069;1,01;51;7,8;6
"Hoppy.Red..1";2;1,071;1,017;62;7,1;15
"Red.Classic";4;1,045;1,013;19;4,2;13
"Ruby..X..IPA.4.6.14";2;1,059;1,012;48;6,1;8
"NW.Rye.IPA";2;1,073;1,018;44;7,2;9
"Basic.Bitch.IPA";2;1,072;1,016;56;7,4;6
"Sierra.Nevada.Celebration.IPA";2;1,074;1,011;67;8,3;10
"Hop.Burst.IPA.1";2;1,065;1,013;67;6,7;7
"B.day.Hop";2;1,066;1,015;67;6,7;12
"Hobbit.House.IPA";2;1,061;1,011;69;6,6;6
"GR.IPA";2;1,064;1,017;50;6,2;9
"Citra.Single.Hop";2;1,058;1,012;52;6,1;7
"Transatlantic.IPA";2;1,071;1,018;60;7;7
"Hogan.s.Air.Raid.ag";2;1,065;1,015;65;6,6;6
"Zombie.Dust.Partial.Mash.Clone.Part.II";2;1,06;1,014;47;6;7
"Harvest.Red..2015.";2;1,07;1,016;68;7;10
"SMASH.German.Wheat";1;1,052;1,013;10;5,1;4
"Generic.IPA";2;1,068;1,018;44;6,6;10
"Grapefruit.IPA.1";2;1,072;1,018;50;7,1;6
"IPAHHH.";2;1,059;1,018;61;5,4;7
"Missing.the.Freshness.....IPA";2;1,058;1,014;65;5,8;12
"Heferator";1;1,05;1,013;11;4,8;6
"Sierra.Nevada.Celebration.Ale.Clone";2;1,063;1,015;53;6,3;13
"IPA.1";2;1,073;1,017;57;7,2;6
"MaracujIPA";2;1,058;1,015;43;5,7;7
"Still.Bitches....Still.in.Space..3gal.";2;1,063;1,016;61;6,2;6
"German.IPA";2;1,058;1,015;48;5,7;10
"Liquid.Alpha";2;1,065;1,015;48;6,6;6
